signal_idx,entry_idx,exit_idx,direction,entry,exit,pnl
75695,75696,75700,-1,4682.215,4682.855,-0.6399999999994179
75703,75704,75708,1,4686.905,4684.725,-2.1799999999993815
75759,75760,75764,-1,4687.175,4686.015,1.1599999999998545
75949,75950,75954,1,4698.865,4693.735,-5.130000000000109
75958,75959,75963,1,4695.915,4697.475,1.5600000000004002
75966,75967,75971,1,4704.735,4700.125,-4.609999999999673
76012,76013,76017,-1,4696.415,4686.845,9.569999999999709
76022,76023,76027,-1,4685.675,4691.495,-5.819999999999709
76214,76215,76219,1,4697.815,4702.318,4.503000000000611
76279,76280,76284,1,4700.225,4697.795,-2.430000000000291
76294,76295,76299,1,4702.275,4700.365,-1.9099999999998545
76354,76355,76359,1,4701.865,4696.685,-5.1799999999993815
76404,76405,76409,1,4712.515,4709.705,-2.8100000000004
76429,76430,76434,1,4699.255,4697.865,-1.3900000000003274
76560,76561,76565,1,4703.755,4695.885,-7.869999999999891
76603,76604,76608,1,4696.565,4696.785,0.22000000000025466
76668,76669,76673,-1,4693.518,4695.898,-2.380000000000109
76689,76690,76694,1,4706.148,4704.295,-1.8530000000000655
76702,76703,76707,1,4707.355,4703.408,-3.946999999999207
76713,76714,76718,-1,4697.588,4702.695,-5.106999999999971
76731,76732,76736,-1,4697.865,4700.435,-2.5700000000006185
76762,76763,76767,-1,4685.255,4682.625,2.630000000000109
76769,76770,76774,-1,4675.105,4680.595,-5.490000000000691
76782,76783,76787,1,4685.695,4684.795,-0.8999999999996362
76789,76790,76794,1,4682.885,4684.355,1.4699999999993452
76998,76999,77003,-1,4676.995,4678.708,-1.712999999999738
77030,77031,77035,-1,4671.645,4672.305,-0.6599999999998545
77118,77119,77123,-1,4663.165,4664.305,-1.1400000000003274
77126,77127,77131,-1,4661.398,4656.588,4.8100000000004
77300,77301,77305,-1,4655.945,4648.615,7.329999999999927
77329,77330,77334,-1,4647.335,4648.995,-1.6599999999998545
77344,77345,77349,1,4655.555,4650.085,-5.470000000000255
77354,77355,77359,-1,4631.555,4623.015,8.539999999999964
77388,77389,77393,1,4629.995,4622.225,-7.769999999999527
77395,77396,77400,-1,4615.085,4610.725,4.359999999999673
77637,77638,77642,-1,4593.665,4589.365,4.300000000000182
77659,77660,77664,-1,4580.645,4566.275,14.3700000000008
77677,77678,77682,1,4567.925,4571.715,3.7899999999999636
77688,77689,77693,-1,4558.445,4563.515,-5.0700000000006185
77839,77840,77844,-1,4552.305,4555.105,-2.7999999999992724
77974,77975,77979,1,4558.475,4559.005,0.5299999999997453
77980,77981,77985,1,4566.825,4565.945,-0.8800000000001091
78144,78145,78149,-1,4538.625,4529.845,8.779999999999745
78154,78155,78159,-1,4512.035,4532.025,-19.98999999999978
78373,78374,78378,1,4561.895,4557.765,-4.130000000000109
78427,78428,78432,-1,4555.125,4558.705,-3.5799999999999272
78440,78441,78445,-1,4553.115,4556.395,-3.280000000000655
78654,78655,78659,-1,4541.605,4545.135,-3.530000000000655
78743,78744,78748,-1,4491.945,4489.758,2.186999999999898
78769,78770,78774,-1,4505.135,4501.305,3.8299999999999272
79004,79005,79009,-1,4535.955,4536.935,-0.9800000000004729
79158,79159,79163,1,4550.225,4554.605,4.3799999999992
79404,79405,79409,1,4545.295,4552.045,6.75
79410,79411,79415,1,4566.305,4560.045,-6.260000000000218
79463,79464,79468,1,4561.668,4561.315,-0.3530000000000655
79522,79523,79527,1,4578.448,4576.825,-1.623000000000502
