signal_idx,entry_idx,exit_idx,direction,entry,exit,pnl
77131,77132,77136,-1,4656.565,4654.245,2.319999999999709
77269,77270,77274,-1,4661.238,4661.908,-0.6700000000000728
77330,77331,77335,1,4645.945,4648.575,2.630000000000109
77389,77390,77394,1,4626.495,4621.385,-5.109999999999673
77631,77632,77636,1,4602.225,4597.175,-5.050000000000182
77661,77662,77666,1,4576.245,4566.085,-10.159999999999854
77674,77675,77679,1,4568.365,4572.485,4.119999999999891
77703,77704,77708,1,4570.785,4575.275,4.489999999999782
77835,77836,77840,1,4558.875,4552.055,-6.819999999999709
77841,77842,77846,-1,4552.885,4553.295,-0.4099999999998545
77885,77886,77890,1,4542.505,4548.275,5.769999999999527
78112,78113,78117,1,4543.445,4539.715,-3.7299999999995634
78139,78140,78144,-1,4548.035,4538.665,9.36999999999989
78145,78146,78150,1,4538.365,4529.255,-9.109999999999673
78428,78429,78433,1,4554.455,4558.615,4.1599999999998545
78528,78529,78533,-1,4545.665,4539.775,5.890000000000327
78655,78656,78660,1,4541.325,4543.735,2.4099999999998545
78709,78710,78714,-1,4533.365,4528.335,5.029999999999745
78776,78777,78781,1,4497.745,4501.785,4.039999999999964
78799,78800,78804,-1,4504.695,4510.745,-6.050000000000182
79028,79029,79033,-1,4545.695,4545.945,-0.25
79155,79156,79160,-1,4546.825,4555.115,-8.289999999999964
79161,79162,79166,-1,4553.675,4552.065,1.610000000000582
79403,79404,79408,-1,4541.655,4555.555,-13.900000000000546
79411,79412,79416,1,4564.065,4560.155,-3.9099999999998545
79464,79465,79469,1,4560.175,4558.975,-1.199999999999818
79499,79500,79504,-1,4562.485,4567.865,-5.380000000000109
79523,79524,79528,1,4578.415,4573.385,-5.029999999999745
79852,79853,79857,-1,4558.105,4552.915,5.1899999999996
80030,80031,80035,-1,4577.415,4581.125,-3.7100000000000364
80038,80039,80043,-1,4579.708,4585.385,-5.677000000000589
80115,80116,80120,-1,4573.325,4574.245,-0.9200000000000728
80149,80150,80154,1,4562.455,4564.675,2.2200000000002547
80391,80392,80396,1,4543.815,4541.765,-2.0499999999992724
80414,80415,80419,1,4534.465,4537.295,2.8299999999999272
