tf,edge,direction,entry_time,atr,liq,minute,agree,boost,entry,exit,pnl
M1,IMBALANCE,1,2026-08-04 07:02:00+00:00,1.4096428571428012,False,2026-08-04 07:02:00+00:00,1,1.0,4065.385,4063.945,-1.4400000000000546
M1,IMBALANCE,1,2026-08-04 08:04:00+00:00,1.5335714285714792,False,2026-08-04 08:04:00+00:00,1,1.0,4072.135,4070.595,-1.5400000000004184
M1,IMBALANCE,1,2026-08-04 11:33:00+00:00,1.448928571428431,False,2026-08-04 11:33:00+00:00,1,1.0,4065.015,4063.565,-1.449999999999818
M1,IMBALANCE,1,2026-08-04 11:44:00+00:00,2.0903571428570364,False,2026-08-04 11:44:00+00:00,1,1.0,4065.485,4063.315,-2.1700000000000728
M1,IMBALANCE,1,2026-08-04 11:45:00+00:00,2.4903571428570297,False,2026-08-04 11:45:00+00:00,1,1.0,4069.905,4067.265,-2.6400000000003274
M1,IMBALANCE,1,2026-08-04 11:48:00+00:00,2.812857142857053,False,2026-08-04 11:48:00+00:00,1,1.0,4074.105,4076.255,2.150000000000091
M1,IMBALANCE,1,2026-08-04 11:52:00+00:00,3.8574999999999755,False,2026-08-04 11:52:00+00:00,1,1.0,4081.975,4078.085,-3.8899999999998727
M5,ABSORPTION,1,2026-08-04 12:00:00+00:00,5.48214285714276,False,2026-08-04 12:00:00+00:00,1,1.0,4075.375,4069.775,-5.599999999999909
M1,IMBALANCE,1,2026-08-04 13:24:00+00:00,3.7914285714285336,False,2026-08-04 13:24:00+00:00,1,1.0,4088.055,4083.815,-4.239999999999782
M1,IMBALANCE,1,2026-08-04 13:31:00+00:00,4.81392857142857,False,2026-08-04 13:31:00+00:00,1,1.0,4083.215,4078.355,-4.860000000000127
M1,IMBALANCE,1,2026-08-04 13:36:00+00:00,5.0078571428571195,False,2026-08-04 13:36:00+00:00,1,1.0,4087.465,4087.765,0.29999999999972715
M1,IMBALANCE,1,2026-08-04 13:49:00+00:00,3.663571428571426,False,2026-08-04 13:49:00+00:00,1,1.0,4092.795,4089.095,-3.700000000000273
M1,IMBALANCE,1,2026-08-04 17:06:00+00:00,1.9371428571426546,False,2026-08-04 17:06:00+00:00,1,1.0,4105.415,4103.385,-2.0299999999997453
M1,IMBALANCE,-1,2026-08-04 23:01:00+00:00,1.9485714285714428,False,2026-08-04 23:01:00+00:00,1,1.0,4071.695,4071.585,0.11000000000012733
M1,IMBALANCE,1,2026-08-05 02:38:00+00:00,3.1728571428570183,False,2026-08-05 02:38:00+00:00,1,1.0,4120.785,4117.175,-3.6099999999996726
M1,IMBALANCE,1,2026-08-05 02:42:00+00:00,3.58428571428554,False,2026-08-05 02:42:00+00:00,1,1.0,4127.925,4124.235,-3.6900000000005093
M5,ABSORPTION,1,2026-08-05 02:50:00+00:00,5.650714285714263,False,2026-08-05 02:50:00+00:00,1,1.0,4130.695,4125.005,-5.6899999999996
M5,ABSORPTION,1,2026-08-05 02:55:00+00:00,5.970357142857113,False,2026-08-05 02:55:00+00:00,1,1.0,4131.675,4128.855,-2.8200000000006185
M1,IMBALANCE,1,2026-08-05 05:38:00+00:00,2.803928571428384,False,2026-08-05 05:38:00+00:00,1,1.0,4151.825,4148.855,-2.9700000000002547
M1,IMBALANCE,1,2026-08-05 05:45:00+00:00,3.494642857142805,False,2026-08-05 05:45:00+00:00,1,1.0,4158.045,4165.215,7.170000000000073
M1,IMBALANCE,1,2026-08-05 05:47:00+00:00,4.030000000000006,False,2026-08-05 05:47:00+00:00,1,1.0,4167.435,4163.385,-4.050000000000182
M1,IMBALANCE,1,2026-08-05 05:52:00+00:00,4.412500000000039,False,2026-08-05 05:52:00+00:00,1,1.0,4170.885,4166.385,-4.5
M1,IMBALANCE,1,2026-08-05 11:28:00+00:00,2.079285714285691,False,2026-08-05 11:28:00+00:00,1,1.0,4176.955,4178.025,1.069999999999709
M1,IMBALANCE,1,2026-08-05 11:32:00+00:00,2.58428571428554,False,2026-08-05 11:32:00+00:00,1,1.0,4180.565,4177.875,-2.6899999999996
M1,IMBALANCE,1,2026-08-05 11:37:00+00:00,2.877142857142644,False,2026-08-05 11:37:00+00:00,1,1.0,4186.065,4183.135,-2.9299999999993815
M1,IMBALANCE,1,2026-08-05 11:43:00+00:00,2.747142857142665,False,2026-08-05 11:43:00+00:00,1,1.0,4188.315,4185.505,-2.8099999999994907
M1,IMBALANCE,1,2026-08-05 12:06:00+00:00,2.0925000000002,False,2026-08-05 12:06:00+00:00,1,1.0,4197.015,4197.655,0.6399999999994179
M1,IMBALANCE,1,2026-08-05 12:21:00+00:00,3.1285714285713118,False,2026-08-05 12:21:00+00:00,1,1.0,4209.365,4209.375,0.010000000000218279
M1,IMBALANCE,1,2026-08-05 13:32:00+00:00,3.0757142857141844,False,2026-08-05 13:32:00+00:00,1,1.0,4200.445,4197.355,-3.0900000000001455
M5,ABSORPTION,1,2026-08-05 13:40:00+00:00,7.64392857142866,False,2026-08-05 13:40:00+00:00,1,1.0,4201.475,4197.655,-3.8200000000006185
M1,IMBALANCE,1,2026-08-05 14:06:00+00:00,3.7132142857141974,False,2026-08-05 14:06:00+00:00,1,1.0,4217.355,4225.835,8.480000000000473
M1,IMBALANCE,1,2026-08-05 23:24:00+00:00,2.357499999999813,False,2026-08-05 23:24:00+00:00,1,1.0,4262.935,4260.345,-2.5900000000001455
