tf,edge,direction,entry_time,atr,liq,minute,agree,boost,entry,exit,pnl
M5,ABSORPTION,-1,2026-08-03 14:05:00+00:00,6.7280357142856895,False,2026-08-03 14:05:00+00:00,1,1.0,4029.075,4031.185,-2.1100000000001273
M5,ABSORPTION,-1,2026-08-03 14:10:00+00:00,6.856964285714217,False,2026-08-03 14:10:00+00:00,1,1.0,4026.935,4028.995,-2.0599999999999454
M1,IMBALANCE,1,2026-08-04 00:01:00+00:00,1.1142857142856752,False,2026-08-04 00:01:00+00:00,1,1.0,4057.655,4056.825,-0.830000000000382
M1,IMBALANCE,1,2026-08-04 00:02:00+00:00,1.3303571428571104,False,2026-08-04 00:02:00+00:00,1,1.0,4061.845,4061.085,-0.7599999999997635
M1,IMBALANCE,1,2026-08-04 00:09:00+00:00,1.9564285714284,False,2026-08-04 00:09:00+00:00,1,1.0,4063.865,4062.985,-0.8799999999996544
M1,IMBALANCE,1,2026-08-04 00:10:00+00:00,2.230357142856974,False,2026-08-04 00:10:00+00:00,1,1.0,4067.765,4066.955,-0.8099999999999454
M1,IMBALANCE,1,2026-08-04 05:31:00+00:00,1.494285714285622,False,2026-08-04 05:31:00+00:00,1,1.0,4067.485,4066.815,-0.6700000000000728
M1,IMBALANCE,1,2026-08-04 07:02:00+00:00,1.4096428571428012,False,2026-08-04 07:02:00+00:00,1,1.0,4065.385,4064.825,-0.5600000000004002
M1,IMBALANCE,1,2026-08-04 08:04:00+00:00,1.5335714285714792,False,2026-08-04 08:04:00+00:00,1,1.0,4072.135,4071.525,-0.6100000000001273
M1,IMBALANCE,1,2026-08-04 11:33:00+00:00,1.448928571428431,False,2026-08-04 11:33:00+00:00,1,1.0,4065.015,4064.495,-0.5199999999999818
M1,IMBALANCE,1,2026-08-04 11:44:00+00:00,2.0903571428570364,False,2026-08-04 11:44:00+00:00,1,1.0,4065.485,4064.605,-0.8800000000001091
M1,IMBALANCE,1,2026-08-04 11:45:00+00:00,2.4903571428570297,False,2026-08-04 11:45:00+00:00,1,1.0,4069.905,4069.025,-0.8800000000001091
M1,IMBALANCE,1,2026-08-04 11:48:00+00:00,2.812857142857053,False,2026-08-04 11:48:00+00:00,1,1.0,4074.105,4075.825,1.7199999999998
M1,IMBALANCE,1,2026-08-04 11:52:00+00:00,3.8574999999999755,False,2026-08-04 11:52:00+00:00,1,1.0,4081.975,4083.185,1.2100000000000364
M5,ABSORPTION,1,2026-08-04 12:00:00+00:00,5.48214285714276,False,2026-08-04 12:00:00+00:00,1,1.0,4075.375,4073.675,-1.699999999999818
M1,IMBALANCE,1,2026-08-04 13:24:00+00:00,3.7914285714285336,False,2026-08-04 13:24:00+00:00,1,1.0,4088.055,4086.865,-1.1900000000000546
M1,IMBALANCE,1,2026-08-04 13:31:00+00:00,4.81392857142857,False,2026-08-04 13:31:00+00:00,1,1.0,4083.215,4081.745,-1.4700000000002547
M1,IMBALANCE,1,2026-08-04 13:36:00+00:00,5.0078571428571195,False,2026-08-04 13:36:00+00:00,1,1.0,4087.465,4087.805,0.33999999999969077
M1,IMBALANCE,1,2026-08-04 13:49:00+00:00,3.663571428571426,False,2026-08-04 13:49:00+00:00,1,1.0,4092.795,4091.325,-1.4700000000002547
M1,IMBALANCE,1,2026-08-04 17:06:00+00:00,1.9371428571426546,False,2026-08-04 17:06:00+00:00,1,1.0,4105.415,4104.805,-0.6099999999996726
M1,IMBALANCE,-1,2026-08-04 23:01:00+00:00,1.9485714285714428,False,2026-08-04 23:01:00+00:00,1,1.0,4071.695,4072.955,-1.2599999999997635
M1,IMBALANCE,1,2026-08-05 02:38:00+00:00,3.1728571428570183,False,2026-08-05 02:38:00+00:00,1,1.0,4120.785,4119.825,-0.9600000000000364
M1,IMBALANCE,1,2026-08-05 02:42:00+00:00,3.58428571428554,False,2026-08-05 02:42:00+00:00,1,1.0,4127.925,4126.735,-1.1900000000005093
M5,ABSORPTION,1,2026-08-05 02:50:00+00:00,5.650714285714263,False,2026-08-05 02:50:00+00:00,1,1.0,4130.695,4128.955,-1.7399999999997817
M5,ABSORPTION,1,2026-08-05 02:55:00+00:00,5.970357142857113,False,2026-08-05 02:55:00+00:00,1,1.0,4131.675,4133.665,1.9899999999997817
M1,IMBALANCE,1,2026-08-05 05:38:00+00:00,2.803928571428384,False,2026-08-05 05:38:00+00:00,1,1.0,4151.825,4150.735,-1.0900000000001455
M1,IMBALANCE,1,2026-08-05 05:45:00+00:00,3.494642857142805,False,2026-08-05 05:45:00+00:00,1,1.0,4158.045,4156.865,-1.180000000000291
M1,IMBALANCE,1,2026-08-05 05:47:00+00:00,4.030000000000006,False,2026-08-05 05:47:00+00:00,1,1.0,4167.435,4171.005,3.569999999999709
M1,IMBALANCE,1,2026-08-05 05:52:00+00:00,4.412500000000039,False,2026-08-05 05:52:00+00:00,1,1.0,4170.885,4171.695,0.8099999999994907
M1,IMBALANCE,1,2026-08-05 11:28:00+00:00,2.079285714285691,False,2026-08-05 11:28:00+00:00,1,1.0,4176.955,4176.265,-0.6899999999995998
M1,IMBALANCE,1,2026-08-05 11:32:00+00:00,2.58428571428554,False,2026-08-05 11:32:00+00:00,1,1.0,4180.565,4179.705,-0.8599999999996726
M1,IMBALANCE,1,2026-08-05 11:37:00+00:00,2.877142857142644,False,2026-08-05 11:37:00+00:00,1,1.0,4186.065,4185.155,-0.9099999999998545
M1,IMBALANCE,1,2026-08-05 11:43:00+00:00,2.747142857142665,False,2026-08-05 11:43:00+00:00,1,1.0,4188.315,4187.415,-0.8999999999996362
M1,IMBALANCE,1,2026-08-05 12:06:00+00:00,2.0925000000002,False,2026-08-05 12:06:00+00:00,1,1.0,4197.015,4196.375,-0.6400000000003274
M1,IMBALANCE,1,2026-08-05 12:21:00+00:00,3.1285714285713118,False,2026-08-05 12:21:00+00:00,1,1.0,4209.365,4209.985,0.6199999999998909
M1,IMBALANCE,1,2026-08-05 13:32:00+00:00,3.0757142857141844,False,2026-08-05 13:32:00+00:00,1,1.0,4200.445,4199.435,-1.0099999999993088
M5,ABSORPTION,1,2026-08-05 13:40:00+00:00,7.64392857142866,False,2026-08-05 13:40:00+00:00,1,1.0,4201.475,4199.165,-2.3100000000004
M1,IMBALANCE,1,2026-08-05 14:06:00+00:00,3.7132142857141974,False,2026-08-05 14:06:00+00:00,1,1.0,4217.355,4218.615,1.2600000000002183
M1,IMBALANCE,1,2026-08-05 23:24:00+00:00,2.357499999999813,False,2026-08-05 23:24:00+00:00,1,1.0,4262.935,4261.745,-1.1900000000005093
M1,IMBALANCE,1,2026-08-05 23:35:00+00:00,1.8035714285714934,False,2026-08-05 23:35:00+00:00,1,1.0,4265.665,4265.005,-0.6599999999998545
M1,IMBALANCE,1,2026-08-05 23:36:00+00:00,2.421071428571525,False,2026-08-05 23:36:00+00:00,1,1.0,4274.475,4273.665,-0.8100000000004002
M1,IMBALANCE,1,2026-08-05 23:59:00+00:00,2.9653571428572962,False,2026-08-05 23:59:00+00:00,1,1.0,4280.035,4279.125,-0.9099999999998545
M1,IMBALANCE,1,2026-08-06 00:09:00+00:00,4.142142857142842,False,2026-08-06 00:09:00+00:00,1,1.0,4277.395,4276.125,-1.2700000000004366
