tf,edge,direction,entry_time,atr,liq,minute,agree,boost,entry,exit,pnl
M1,IMBALANCE,-1,2026-08-03 13:07:00+00:00,2.7053571428571104,False,2026-08-03 13:07:00+00:00,1,1.0,4043.165,4044.415,-1.25
M1,IMBALANCE,-1,2026-08-03 13:33:00+00:00,2.5921428571428544,False,2026-08-03 13:33:00+00:00,1,1.0,4030.025,4026.125,3.900000000000091
M1,IMBALANCE,-1,2026-08-03 13:36:00+00:00,2.576428571428518,False,2026-08-03 13:36:00+00:00,1,1.0,4027.575,4029.115,-1.5399999999999636
M5,ABSORPTION,-1,2026-08-03 13:50:00+00:00,6.222321428571441,False,2026-08-03 13:50:00+00:00,1,1.0,4029.645,4030.445,-0.8000000000001819
M5,ABSORPTION,-1,2026-08-03 13:55:00+00:00,6.185535714285736,False,2026-08-03 13:55:00+00:00,1,1.0,4029.945,4031.235,-1.2899999999999636
M5,ABSORPTION,-1,2026-08-03 14:05:00+00:00,6.7280357142856895,False,2026-08-03 14:05:00+00:00,1,1.0,4029.075,4027.485,1.5899999999996908
M5,ABSORPTION,-1,2026-08-03 14:10:00+00:00,6.856964285714217,False,2026-08-03 14:10:00+00:00,1,1.0,4026.935,4033.685,-6.75
M1,IMBALANCE,1,2026-08-04 00:01:00+00:00,1.1142857142856752,False,2026-08-04 00:01:00+00:00,1,1.0,4057.655,4059.595,1.9399999999995998
M1,IMBALANCE,1,2026-08-04 00:02:00+00:00,1.3303571428571104,False,2026-08-04 00:02:00+00:00,1,1.0,4061.845,4059.375,-2.4699999999998
M1,IMBALANCE,1,2026-08-04 00:09:00+00:00,1.9564285714284,False,2026-08-04 00:09:00+00:00,1,1.0,4063.865,4063.565,-0.29999999999972715
M1,IMBALANCE,1,2026-08-04 00:10:00+00:00,2.230357142856974,False,2026-08-04 00:10:00+00:00,1,1.0,4067.765,4063.025,-4.739999999999782
M1,IMBALANCE,1,2026-08-04 05:31:00+00:00,1.494285714285622,False,2026-08-04 05:31:00+00:00,1,1.0,4067.485,4061.865,-5.620000000000346
M1,IMBALANCE,1,2026-08-04 07:02:00+00:00,1.4096428571428012,False,2026-08-04 07:02:00+00:00,1,1.0,4065.385,4064.375,-1.0100000000002183
M1,IMBALANCE,1,2026-08-04 08:04:00+00:00,1.5335714285714792,False,2026-08-04 08:04:00+00:00,1,1.0,4072.135,4069.915,-2.2200000000002547
M1,IMBALANCE,1,2026-08-04 11:33:00+00:00,1.448928571428431,False,2026-08-04 11:33:00+00:00,1,1.0,4065.015,4062.125,-2.8899999999998727
M1,IMBALANCE,1,2026-08-04 11:44:00+00:00,2.0903571428570364,False,2026-08-04 11:44:00+00:00,1,1.0,4065.485,4077.085,11.599999999999909
M1,IMBALANCE,1,2026-08-04 11:45:00+00:00,2.4903571428570297,False,2026-08-04 11:45:00+00:00,1,1.0,4069.905,4076.045,6.139999999999873
M1,IMBALANCE,1,2026-08-04 11:48:00+00:00,2.812857142857053,False,2026-08-04 11:48:00+00:00,1,1.0,4074.105,4075.835,1.7300000000000182
M1,IMBALANCE,1,2026-08-04 11:52:00+00:00,3.8574999999999755,False,2026-08-04 11:52:00+00:00,1,1.0,4081.975,4071.575,-10.400000000000091
M5,ABSORPTION,1,2026-08-04 12:00:00+00:00,5.48214285714276,False,2026-08-04 12:00:00+00:00,1,1.0,4075.375,4068.405,-6.9699999999998
M1,IMBALANCE,1,2026-08-04 13:24:00+00:00,3.7914285714285336,False,2026-08-04 13:24:00+00:00,1,1.0,4088.055,4078.105,-9.949999999999818
M1,IMBALANCE,1,2026-08-04 13:31:00+00:00,4.81392857142857,False,2026-08-04 13:31:00+00:00,1,1.0,4083.215,4086.835,3.619999999999891
M1,IMBALANCE,1,2026-08-04 13:36:00+00:00,5.0078571428571195,False,2026-08-04 13:36:00+00:00,1,1.0,4087.465,4087.765,0.29999999999972715
M1,IMBALANCE,1,2026-08-04 13:49:00+00:00,3.663571428571426,False,2026-08-04 13:49:00+00:00,1,1.0,4092.795,4089.265,-3.5300000000002
M1,IMBALANCE,1,2026-08-04 17:06:00+00:00,1.9371428571426546,False,2026-08-04 17:06:00+00:00,1,1.0,4105.415,4097.945,-7.470000000000255
M1,IMBALANCE,-1,2026-08-04 23:01:00+00:00,1.9485714285714428,False,2026-08-04 23:01:00+00:00,1,1.0,4071.695,4071.405,0.2899999999999636
M1,IMBALANCE,1,2026-08-05 02:38:00+00:00,3.1728571428570183,False,2026-08-05 02:38:00+00:00,1,1.0,4120.785,4127.075,6.289999999999964
M1,IMBALANCE,1,2026-08-05 02:42:00+00:00,3.58428571428554,False,2026-08-05 02:42:00+00:00,1,1.0,4127.925,4126.805,-1.1199999999998909
M5,ABSORPTION,1,2026-08-05 02:50:00+00:00,5.650714285714263,False,2026-08-05 02:50:00+00:00,1,1.0,4130.695,4130.925,0.23000000000047294
M5,ABSORPTION,1,2026-08-05 02:55:00+00:00,5.970357142857113,False,2026-08-05 02:55:00+00:00,1,1.0,4131.675,4128.855,-2.8200000000006185
M1,IMBALANCE,1,2026-08-05 05:38:00+00:00,2.803928571428384,False,2026-08-05 05:38:00+00:00,1,1.0,4151.825,4152.615,0.7899999999999636
M1,IMBALANCE,1,2026-08-05 05:45:00+00:00,3.494642857142805,False,2026-08-05 05:45:00+00:00,1,1.0,4158.045,4164.405,6.359999999999673
M1,IMBALANCE,1,2026-08-05 05:47:00+00:00,4.030000000000006,False,2026-08-05 05:47:00+00:00,1,1.0,4167.435,4170.095,2.6599999999998545
M1,IMBALANCE,1,2026-08-05 05:52:00+00:00,4.412500000000039,False,2026-08-05 05:52:00+00:00,1,1.0,4170.885,4166.285,-4.600000000000364
M1,IMBALANCE,1,2026-08-05 11:28:00+00:00,2.079285714285691,False,2026-08-05 11:28:00+00:00,1,1.0,4176.955,4180.025,3.069999999999709
M1,IMBALANCE,1,2026-08-05 11:32:00+00:00,2.58428571428554,False,2026-08-05 11:32:00+00:00,1,1.0,4180.565,4185.425,4.860000000000582
M1,IMBALANCE,1,2026-08-05 11:37:00+00:00,2.877142857142644,False,2026-08-05 11:37:00+00:00,1,1.0,4186.065,4184.285,-1.7799999999997453
M1,IMBALANCE,1,2026-08-05 11:43:00+00:00,2.747142857142665,False,2026-08-05 11:43:00+00:00,1,1.0,4188.315,4184.385,-3.9299999999993815
M1,IMBALANCE,1,2026-08-05 12:06:00+00:00,2.0925000000002,False,2026-08-05 12:06:00+00:00,1,1.0,4197.015,4197.655,0.6399999999994179
M1,IMBALANCE,1,2026-08-05 12:21:00+00:00,3.1285714285713118,False,2026-08-05 12:21:00+00:00,1,1.0,4209.365,4209.115,-0.25
M1,IMBALANCE,1,2026-08-05 13:32:00+00:00,3.0757142857141844,False,2026-08-05 13:32:00+00:00,1,1.0,4200.445,4196.665,-3.7799999999997453
M5,ABSORPTION,1,2026-08-05 13:40:00+00:00,7.64392857142866,False,2026-08-05 13:40:00+00:00,1,1.0,4201.475,4197.655,-3.8200000000006185
M1,IMBALANCE,1,2026-08-05 14:06:00+00:00,3.7132142857141974,False,2026-08-05 14:06:00+00:00,1,1.0,4217.355,4231.825,14.470000000000255
M1,IMBALANCE,1,2026-08-05 23:24:00+00:00,2.357499999999813,False,2026-08-05 23:24:00+00:00,1,1.0,4262.935,4262.395,-0.5399999999999636
M1,IMBALANCE,1,2026-08-05 23:35:00+00:00,1.8035714285714934,False,2026-08-05 23:35:00+00:00,1,1.0,4265.665,4277.885,12.220000000000255
M1,IMBALANCE,1,2026-08-05 23:36:00+00:00,2.421071428571525,False,2026-08-05 23:36:00+00:00,1,1.0,4274.475,4279.585,5.109999999999673
M1,IMBALANCE,1,2026-08-05 23:59:00+00:00,2.9653571428572962,False,2026-08-05 23:59:00+00:00,1,1.0,4280.035,4266.675,-13.359999999999673
M1,IMBALANCE,1,2026-08-06 00:09:00+00:00,4.142142857142842,False,2026-08-06 00:09:00+00:00,1,1.0,4277.395,4265.455,-11.94000000000051
M1,IMBALANCE,1,2026-08-06 01:02:00+00:00,4.25000000000013,False,2026-08-06 01:02:00+00:00,1,1.0,4301.645,4288.335,-13.3100000000004
M1,IMBALANCE,-1,2026-08-06 05:33:00+00:00,2.244999999999891,False,2026-08-06 05:33:00+00:00,1,1.0,4248.245,4259.565,-11.319999999999709
M1,IMBALANCE,-1,2026-08-06 11:24:00+00:00,1.9283928571428208,False,2026-08-06 11:24:00+00:00,1,1.0,4261.215,4263.875,-2.6599999999998545
M1,IMBALANCE,-1,2026-08-06 11:49:00+00:00,2.2292857142857168,False,2026-08-06 11:49:00+00:00,1,1.0,4256.065,4256.255,-0.19000000000050932
M1,IMBALANCE,-1,2026-08-06 12:09:00+00:00,2.5132142857143793,False,2026-08-06 12:09:00+00:00,1,1.0,4258.795,4258.345,0.4499999999998181
M1,IMBALANCE,-1,2026-08-06 12:22:00+00:00,2.778214285714252,False,2026-08-06 12:22:00+00:00,1,1.0,4260.495,4259.095,1.3999999999996362
M1,IMBALANCE,-1,2026-08-06 13:06:00+00:00,3.1492857142857895,False,2026-08-06 13:06:00+00:00,1,1.0,4247.805,4234.245,13.5600000000004
M1,IMBALANCE,-1,2026-08-06 13:07:00+00:00,3.3975000000000364,False,2026-08-06 13:07:00+00:00,1,1.0,4244.205,4235.375,8.829999999999927
M1,IMBALANCE,-1,2026-08-06 13:09:00+00:00,3.6975000000000233,False,2026-08-06 13:09:00+00:00,1,1.0,4240.765,4238.795,1.9700000000002547
M1,IMBALANCE,-1,2026-08-06 13:10:00+00:00,4.248571428571528,False,2026-08-06 13:10:00+00:00,1,1.0,4231.455,4238.845,-7.390000000000327
M1,IMBALANCE,-1,2026-08-06 15:55:00+00:00,3.219642857142844,False,2026-08-06 15:55:00+00:00,1,1.0,4234.725,4234.035,0.6900000000005093
M1,IMBALANCE,-1,2026-08-06 19:27:00+00:00,2.202071428571539,False,2026-08-06 19:27:00+00:00,1,1.0,4238.245,4237.585,0.6599999999998545
M1,IMBALANCE,-1,2026-08-06 19:55:00+00:00,2.2892857142857275,False,2026-08-06 19:55:00+00:00,1,1.0,4246.855,4249.235,-2.380000000000109
M1,IMBALANCE,1,2026-08-06 23:52:00+00:00,1.3971428571428857,False,2026-08-06 23:52:00+00:00,1,1.0,4251.245,4251.275,0.02999999999974534
M1,IMBALANCE,1,2026-08-07 05:33:00+00:00,2.0567857142857844,False,2026-08-07 05:33:00+00:00,1,1.0,4271.995,4273.905,1.9099999999998545
M1,IMBALANCE,1,2026-08-07 08:32:00+00:00,2.0557142857144624,False,2026-08-07 08:32:00+00:00,1,1.0,4300.325,4301.725,1.4000000000005457
M1,IMBALANCE,1,2026-08-07 08:34:00+00:00,2.9292857142857947,False,2026-08-07 08:34:00+00:00,1,1.0,4311.775,4305.225,-6.549999999999272
M1,IMBALANCE,1,2026-08-07 11:21:00+00:00,2.2289285714283715,False,2026-08-07 11:21:00+00:00,1,1.0,4323.205,4325.615,2.4099999999998545
M5,ABSORPTION,1,2026-08-07 12:20:00+00:00,4.913214285714146,False,2026-08-07 12:20:00+00:00,1,1.0,4314.785,4310.795,-3.9899999999997817
