tf,signal_idx,entry_idx,exit_idx,direction,entry,exit,pnl,entry_time,edge
M5,1723,1724,1728,-1,4078.8,4081.78,-2.9799999999995634,2026-08-04 14:40:00+00:00,ABSORPTION
M1,8765,8766,8770,1,4105.125,4098.305,-6.819999999999709,2026-08-04 17:06:00+00:00,IMBALANCE
M1,8789,8790,8794,-1,4094.825,4093.82,1.0050000000001091,2026-08-04 17:30:00+00:00,IMBALANCE
M1,9000,9001,9005,-1,4072.265,4070.785,1.480000000000473,2026-08-04 23:01:00+00:00,IMBALANCE
M1,9060,9061,9065,-1,4070.815,4073.49,-2.674999999999727,2026-08-05 00:01:00+00:00,IMBALANCE
M1,9121,9122,9126,-1,4078.795,4081.455,-2.6599999999998545,2026-08-05 01:02:00+00:00,IMBALANCE
M1,9182,9183,9187,-1,4098.0,4097.555,0.4449999999997089,2026-08-05 02:03:00+00:00,IMBALANCE
M1,9217,9218,9222,1,4120.41,4127.575,7.164999999999964,2026-08-05 02:38:00+00:00,IMBALANCE
M5,1845,1846,1850,1,4130.285,4135.92,5.635000000000218,2026-08-05 02:50:00+00:00,ABSORPTION
M1,9392,9393,9397,-1,4140.165,4151.56,-11.394999999999529,2026-08-05 05:33:00+00:00,IMBALANCE
M1,9404,9405,9409,1,4157.66,4164.795,7.135000000000218,2026-08-05 05:45:00+00:00,IMBALANCE
M1,9411,9412,9416,1,4170.49,4166.65,-3.8400000000001455,2026-08-05 05:52:00+00:00,IMBALANCE
M5,1882,1883,1887,-1,4167.375,4166.455,0.9200000000000728,2026-08-05 05:55:00+00:00,ABSORPTION
M1,9583,9584,9588,1,4166.945,4163.045,-3.899999999999636,2026-08-05 08:44:00+00:00,IMBALANCE
M1,9747,9748,9752,1,4176.68,4180.45,3.769999999999527,2026-08-05 11:28:00+00:00,IMBALANCE
M1,9756,9757,9761,1,4185.745,4184.715,-1.0299999999997451,2026-08-05 11:37:00+00:00,IMBALANCE
M1,9762,9763,9767,1,4187.98,4184.73,-3.25,2026-08-05 11:43:00+00:00,IMBALANCE
M1,9785,9786,9790,1,4196.67,4198.115,1.444999999999709,2026-08-05 12:06:00+00:00,IMBALANCE
M1,9799,9800,9804,-1,4205.365,4211.360000000001,-5.9950000000008,2026-08-05 12:20:00+00:00,IMBALANCE
M1,9845,9846,9850,1,4217.049999999999,4232.37,15.320000000000618,2026-08-05 14:06:00+00:00,IMBALANCE
M1,9852,9853,9857,-1,4228.37,4229.71,-1.3400000000001455,2026-08-05 14:13:00+00:00,IMBALANCE
M5,1970,1971,1975,-1,4229.469999999999,4231.725,-2.255000000001018,2026-08-05 14:15:00+00:00,ABSORPTION
M1,9858,9859,9863,1,4235.915,4231.6900000000005,-4.224999999999454,2026-08-05 14:19:00+00:00,IMBALANCE
M1,10283,10284,10288,1,4262.555,4263.025,0.4699999999993451,2026-08-05 23:24:00+00:00,IMBALANCE
M1,10294,10295,10299,1,4265.285,4278.16,12.875,2026-08-05 23:35:00+00:00,IMBALANCE
M1,10318,10319,10323,1,4279.639999999999,4266.83,-12.80999999999949,2026-08-05 23:59:00+00:00,IMBALANCE
M1,10328,10329,10333,1,4277.02,4265.645,-11.375,2026-08-06 00:09:00+00:00,IMBALANCE
M1,10347,10348,10352,-1,4277.75,4278.64,-0.8900000000003274,2026-08-06 00:28:00+00:00,IMBALANCE
M1,10410,10411,10415,-1,4284.584999999999,4286.360000000001,-1.7750000000014552,2026-08-06 02:31:00+00:00,IMBALANCE
M1,10620,10621,10625,1,4264.84,4261.985,-2.855000000000473,2026-08-06 08:01:00+00:00,IMBALANCE
M1,10683,10684,10688,-1,4279.129999999999,4276.8,2.3299999999990177,2026-08-06 09:04:00+00:00,IMBALANCE
M1,10800,10801,10805,1,4272.85,4269.785,-3.0650000000005093,2026-08-06 11:01:00+00:00,IMBALANCE
M1,10823,10824,10828,-1,4261.415,4263.58,-2.164999999999964,2026-08-06 11:24:00+00:00,IMBALANCE
M1,10848,10849,10853,-1,4256.334999999999,4255.93,0.4049999999988358,2026-08-06 11:49:00+00:00,IMBALANCE
M1,10856,10857,10861,1,4261.9,4262.045,0.1450000000004365,2026-08-06 11:57:00+00:00,IMBALANCE
M1,10868,10869,10873,-1,4259.110000000001,4258.16,0.9500000000007276,2026-08-06 12:09:00+00:00,IMBALANCE
M1,10880,10881,10885,1,4262.86,4257.755,-5.104999999999563,2026-08-06 12:21:00+00:00,IMBALANCE
M1,10909,10910,10914,-1,4255.615,4251.18,4.434999999999491,2026-08-06 12:50:00+00:00,IMBALANCE
M5,2183,2184,2188,-1,4250.2,4242.865,7.335000000000036,2026-08-06 13:00:00+00:00,ABSORPTION
M1,10925,10926,10930,-1,4248.045,4234.085,13.960000000000036,2026-08-06 13:06:00+00:00,IMBALANCE
M5,2195,2196,2200,-1,4267.1900000000005,4262.21,4.980000000000473,2026-08-06 14:00:00+00:00,ABSORPTION
M1,11093,11094,11098,-1,4241.469999999999,4234.82,6.649999999999636,2026-08-06 15:54:00+00:00,IMBALANCE
M5,2219,2220,2224,1,4233.82,4224.66,-9.159999999999854,2026-08-06 16:00:00+00:00,ABSORPTION
M1,11304,11305,11309,-1,4240.219999999999,4237.38,2.839999999999236,2026-08-06 19:25:00+00:00,IMBALANCE
M1,11333,11334,11338,1,4249.51,4248.795,-0.7150000000001455,2026-08-06 19:54:00+00:00,IMBALANCE
M1,11511,11512,11516,1,4250.87,4251.645,0.7750000000005457,2026-08-06 23:52:00+00:00,IMBALANCE
M1,11520,11521,11525,1,4239.0,4241.955,2.9549999999999272,2026-08-07 01:01:00+00:00,IMBALANCE
M1,11527,11528,11532,1,4245.13,4242.389999999999,-2.740000000000691,2026-08-07 01:08:00+00:00,IMBALANCE
M1,11541,11542,11546,1,4249.395,4241.765,-7.630000000000109,2026-08-07 01:22:00+00:00,IMBALANCE
M1,11547,11548,11552,1,4245.425,4244.1,-1.324999999999818,2026-08-07 01:28:00+00:00,IMBALANCE
M1,11792,11793,11797,1,4271.625,4274.139999999999,2.514999999999418,2026-08-07 05:33:00+00:00,IMBALANCE
M1,11971,11972,11976,1,4300.049999999999,4301.975,1.9250000000010916,2026-08-07 08:32:00+00:00,IMBALANCE
M1,12134,12135,12139,-1,4315.1,4314.435,0.6650000000008731,2026-08-07 12:15:00+00:00,IMBALANCE
M5,2427,2428,2432,1,4314.5,4367.16,52.659999999999854,2026-08-07 12:20:00+00:00,ABSORPTION
M1,12150,12151,12155,1,4353.935,4359.13,5.1950000000006185,2026-08-07 12:31:00+00:00,IMBALANCE
M1,12159,12160,12164,1,4364.745,4367.16,2.414999999999964,2026-08-07 12:40:00+00:00,IMBALANCE
M5,2433,2434,2438,-1,4368.719999999999,4347.965,20.7549999999992,2026-08-07 12:50:00+00:00,ABSORPTION
M5,2439,2440,2444,1,4347.24,4358.355,11.114999999999782,2026-08-07 13:20:00+00:00,ABSORPTION
M5,2450,2451,2455,1,4334.54,4343.49,8.949999999999818,2026-08-07 14:15:00+00:00,ABSORPTION
M1,12540,12541,12545,1,4338.17,4341.12,2.949999999999818,2026-08-07 19:01:00+00:00,IMBALANCE
M1,12593,12594,12598,-1,4344.67,4344.17,0.5,2026-08-07 19:54:00+00:00,IMBALANCE
M1,12721,12722,12726,1,4337.8150000000005,4325.139999999999,-12.675000000001091,2026-08-10 01:02:00+00:00,IMBALANCE
M1,12933,12934,12938,1,4338.24,4339.83,1.5900000000001455,2026-08-10 05:34:00+00:00,IMBALANCE
M1,12940,12941,12945,1,4343.24,4341.14,-2.0999999999994543,2026-08-10 05:41:00+00:00,IMBALANCE
M1,12951,12952,12956,1,4350.945,4349.035,-1.9099999999998545,2026-08-10 05:52:00+00:00,IMBALANCE
M1,13207,13208,13212,1,4336.105,4333.5,-2.6049999999995634,2026-08-10 12:08:00+00:00,IMBALANCE
M1,13231,13232,13236,1,4331.575,4330.32,-1.2550000000001091,2026-08-10 12:32:00+00:00,IMBALANCE
M1,13262,13263,13267,-1,4326.795,4331.09,-4.295000000000073,2026-08-10 13:03:00+00:00,IMBALANCE
M1,13292,13293,13297,1,4335.95,4337.92,1.9700000000002549,2026-08-10 13:33:00+00:00,IMBALANCE
M5,2658,2659,2663,1,4337.025,4318.075,-18.949999999999815,2026-08-10 13:35:00+00:00,ABSORPTION
M1,13300,13301,13305,-1,4335.04,4330.34,4.699999999999818,2026-08-10 13:41:00+00:00,IMBALANCE
M1,13306,13307,13311,-1,4327.415,4326.235000000001,1.1799999999993815,2026-08-10 13:47:00+00:00,IMBALANCE
M1,13320,13321,13325,1,4322.75,4322.030000000001,-0.7199999999993452,2026-08-10 14:01:00+00:00,IMBALANCE
M5,2670,2671,2675,-1,4347.655000000001,4345.505,2.1500000000005457,2026-08-10 14:35:00+00:00,ABSORPTION
M1,13591,13592,13596,1,4376.525,4378.055,1.5300000000006548,2026-08-10 18:32:00+00:00,IMBALANCE
M1,13645,13646,13650,1,4389.360000000001,4392.955,3.594999999999345,2026-08-10 19:26:00+00:00,IMBALANCE
M1,13668,13669,13673,1,4394.095,4392.325,-1.7700000000004366,2026-08-10 19:49:00+00:00,IMBALANCE
M1,13675,13676,13680,-1,4389.96,4390.3150000000005,-0.3550000000004729,2026-08-10 19:56:00+00:00,IMBALANCE
M1,13861,13862,13866,-1,4399.458500000001,4403.075,-3.616499999999178,2026-08-11 01:02:00+00:00,IMBALANCE
M1,13867,13868,13872,1,4408.125,4412.63,4.505000000000109,2026-08-11 01:08:00+00:00,IMBALANCE
M1,13878,13879,13883,-1,4413.93,4415.62,-1.6899999999995998,2026-08-11 01:19:00+00:00,IMBALANCE
M1,14070,14071,14075,-1,4412.84,4413.54,-0.6999999999998181,2026-08-11 04:31:00+00:00,IMBALANCE
M1,14082,14083,14087,-1,4409.425,4410.805,-1.3800000000001091,2026-08-11 04:43:00+00:00,IMBALANCE
M1,14130,14131,14135,-1,4380.65,4383.59,-2.9400000000005093,2026-08-11 05:31:00+00:00,IMBALANCE
M5,2826,2827,2831,1,4384.3150000000005,4375.514999999999,-8.800000000001091,2026-08-11 05:35:00+00:00,ABSORPTION
M1,14401,14402,14406,1,4390.195,4389.7,-0.4949999999998908,2026-08-11 11:02:00+00:00,IMBALANCE
M1,14482,14483,14487,-1,4394.35,4391.344999999999,3.005000000001018,2026-08-11 12:23:00+00:00,IMBALANCE
M1,14722,14723,14727,-1,4392.695,4395.025,-2.3299999999999272,2026-08-12 05:23:00+00:00,IMBALANCE
M1,14731,14732,14736,1,4396.415,4393.6,-2.8149999999996,2026-08-12 05:32:00+00:00,IMBALANCE
M1,14755,14756,14760,1,4390.4,4405.77,15.3700000000008,2026-08-12 05:56:00+00:00,IMBALANCE
M1,14895,14896,14900,1,4417.975,4414.315,-3.660000000000764,2026-08-12 09:16:00+00:00,IMBALANCE
M1,14902,14903,14907,1,4417.54,4415.365,-2.175000000000182,2026-08-12 09:23:00+00:00,IMBALANCE
M1,15027,15028,15032,1,4413.185,4417.5650000000005,4.380000000001019,2026-08-12 12:28:00+00:00,IMBALANCE
M1,15033,15034,15038,1,4422.135,4424.185,2.0499999999992724,2026-08-12 12:34:00+00:00,IMBALANCE
M5,3006,3007,3011,1,4425.225,4437.705,12.479999999999563,2026-08-12 12:35:00+00:00,ABSORPTION
M1,15039,15040,15044,1,4429.225,4428.755,-0.4700000000002546,2026-08-12 12:40:00+00:00,IMBALANCE
M5,3015,3016,3020,-1,4424.4,4416.719999999999,7.680000000000291,2026-08-12 13:20:00+00:00,ABSORPTION
M1,15469,15470,15474,-1,4409.77,4411.51,-1.7399999999997815,2026-08-12 19:50:00+00:00,IMBALANCE
M1,15479,15480,15484,1,4414.045,4411.285,-2.7600000000002183,2026-08-12 20:00:00+00:00,IMBALANCE
M1,15659,15660,15664,1,4414.37,4416.405000000001,2.035000000000764,2026-08-13 00:00:00+00:00,IMBALANCE
M1,15666,15667,15671,1,4419.1,4420.375,1.2749999999996362,2026-08-13 00:07:00+00:00,IMBALANCE
M1,15675,15676,15680,1,4423.51,4430.355,6.844999999999345,2026-08-13 00:16:00+00:00,IMBALANCE
M1,15683,15684,15688,1,4437.16,4428.14,-9.019999999999529,2026-08-13 00:24:00+00:00,IMBALANCE
M1,15693,15694,15698,1,4433.89,4437.780000000001,3.890000000000328,2026-08-13 00:34:00+00:00,IMBALANCE
M1,15709,15710,15714,-1,4429.77,4431.525,-1.7549999999991996,2026-08-13 00:50:00+00:00,IMBALANCE
M1,15751,15752,15756,1,4426.06,4427.36,1.300000000000182,2026-08-13 01:32:00+00:00,IMBALANCE
M1,15766,15767,15771,-1,4412.385,4411.56,0.8250000000007276,2026-08-13 01:47:00+00:00,IMBALANCE
M1,15973,15974,15978,1,4403.24,4402.23,-1.0100000000002185,2026-08-13 05:14:00+00:00,IMBALANCE
M1,15990,15991,15995,-1,4401.07,4397.905000000001,3.164999999999054,2026-08-13 05:31:00+00:00,IMBALANCE
