datetime,open,high,low,close,volume
2026-03-20 17:00:00,4582.898,4600.315,4554.055,4573.125,4.09508
2026-03-20 18:00:00,4573.175,4578.205,4477.125,4499.575,4.1242
2026-03-20 19:00:00,4499.625,4516.475,4485.055,4501.135,4.59947
2026-03-20 20:00:00,4501.185,4514.118,4487.425,4490.055,2.25568
2026-03-22 22:00:00,4470.705,4535.815,4448.835,4497.358,2.14478
2026-03-22 23:00:00,4497.375,4509.858,4451.808,4464.415,2.65134
2026-03-23 00:00:00,4464.435,4472.975,4318.825,4353.515,4.23172
2026-03-23 01:00:00,4353.425,4453.865,4328.168,4386.965,4.68215
2026-03-23 02:00:00,4388.025,4421.715,4354.535,4360.185,3.67065
2026-03-23 03:00:00,4360.245,4377.655,4334.515,4352.665,2.7144
2026-03-23 04:00:00,4352.645,4381.625,4349.598,4367.395,2.28223
2026-03-23 05:00:00,4367.375,4379.795,4301.698,4309.865,3.19164
2026-03-23 06:00:00,4309.658,4309.955,4162.445,4220.105,5.12907
2026-03-23 07:00:00,4220.075,4232.235,4098.275,4203.965,5.40681
2026-03-23 08:00:00,4203.695,4270.385,4202.059,4251.078,4.45349
2026-03-23 09:00:00,4251.078,4308.225,4223.205,4253.245,3.82256
2026-03-23 10:00:00,4253.465,4281.615,4240.835,4268.715,3.21021
2026-03-23 11:00:00,4268.735,4463.015,4268.395,4378.795,5.74526
2026-03-23 12:00:00,4378.825,4492.185,4336.305,4478.095,5.3762
2026-03-23 13:00:00,4478.108,4484.905,4400.995,4453.975,5.40907
2026-03-23 14:00:00,4454.145,4512.665,4453.385,4461.695,4.96863
2026-03-23 15:00:00,4461.238,4486.765,4350.798,4363.515,5.03484
2026-03-23 16:00:00,4363.158,4391.505,4352.058,4375.325,5.11668
2026-03-23 17:00:00,4375.285,4438.835,4370.575,4425.965,4.06973
2026-03-23 18:00:00,4425.995,4466.895,4402.005,4448.785,3.65977
2026-03-23 19:00:00,4448.625,4450.325,4392.885,4400.198,3.49493
2026-03-23 20:00:00,4397.625,4412.975,4382.575,4405.895,1.6027
2026-03-23 22:00:00,4411.898,4431.065,4359.348,4426.338,1.6882
2026-03-23 23:00:00,4424.509,4448.005,4421.705,4440.915,1.96756
2026-03-24 00:00:00,4440.895,4446.435,4330.695,4364.035,3.10124
2026-03-24 01:00:00,4364.165,4373.895,4307.555,4321.765,4.04112
2026-03-24 02:00:00,4321.745,4378.965,4305.565,4365.725,3.52136
2026-03-24 03:00:00,4365.655,4367.905,4334.835,4347.045,2.54072
2026-03-24 04:00:00,4347.025,4357.005,4326.245,4333.115,1.798
2026-03-24 05:00:00,4333.115,4373.595,4319.515,4346.945,3.38418
2026-03-24 06:00:00,4347.135,4404.765,4342.635,4401.855,3.60036
2026-03-24 07:00:00,4401.885,4432.785,4399.365,4416.855,3.58195
2026-03-24 08:00:00,4416.815,4420.735,4390.895,4411.535,3.97091
2026-03-24 09:00:00,4412.015,4430.625,4395.625,4425.945,2.75433
2026-03-24 10:00:00,4426.255,4441.308,4414.355,4438.445,3.12639
2026-03-24 11:00:00,4438.445,4441.865,4373.048,4407.345,4.97676
2026-03-24 12:00:00,4407.375,4427.205,4361.545,4378.905,5.78816
2026-03-24 13:00:00,4378.885,4389.575,4350.838,4381.165,5.10057
2026-03-24 14:00:00,4381.175,4433.085,4380.019,4415.558,13.36545
2026-03-24 15:00:00,4415.005,4430.398,4395.758,4411.118,9.25281
2026-03-24 16:00:00,4411.158,4427.148,4402.198,4420.958,7.02002
2026-03-24 17:00:00,4420.958,4426.058,4372.155,4388.395,4.03141
2026-03-24 18:00:00,4388.365,4423.105,4383.545,4389.285,3.31339
2026-03-24 19:00:00,4389.275,4411.108,4388.475,4400.085,2.36621
2026-03-24 20:00:00,4399.998,4483.945,4397.025,4471.835,2.76106
2026-03-24 22:00:00,4471.098,4485.185,4455.258,4484.118,1.82161
2026-03-24 23:00:00,4483.778,4551.118,4471.958,4546.375,3.5625
2026-03-25 00:00:00,4546.335,4571.738,4537.065,4562.698,3.86077
2026-03-25 01:00:00,4562.698,4600.955,4552.085,4594.655,4.49756
2026-03-25 02:00:00,4594.635,4602.125,4579.585,4583.325,1.93254
2026-03-25 03:00:00,4583.285,4585.905,4567.258,4569.738,2.47791
2026-03-25 04:00:00,4569.595,4574.385,4565.295,4572.248,1.39611
2026-03-25 05:00:00,4572.495,4573.295,4548.898,4555.215,2.49692
2026-03-25 06:00:00,4555.235,4556.655,4532.668,4545.405,3.03724
