datetime,open,high,low,close,volume
2026-05-12 09:00:00,4703.285,4703.285,4699.505,4701.305,0.15582
2026-05-12 09:05:00,4701.325,4701.505,4698.715,4699.265,0.16683
2026-05-12 09:10:00,4699.235,4701.465,4697.725,4697.745,0.14319
2026-05-12 09:15:00,4697.735,4700.505,4697.725,4698.595,0.12594
2026-05-12 09:20:00,4698.615,4702.095,4697.775,4701.385,0.1425
2026-05-12 09:25:00,4701.425,4702.135,4697.335,4699.505,0.16317
2026-05-12 09:30:00,4699.535,4705.125,4699.485,4702.035,0.23607
2026-05-12 09:35:00,4702.065,4702.505,4698.295,4701.805,0.19245
2026-05-12 09:40:00,4701.855,4702.335,4694.295,4695.075,0.19008
2026-05-12 09:45:00,4695.165,4701.005,4693.955,4700.615,0.1458
2026-05-12 09:50:00,4700.885,4701.435,4696.015,4696.945,0.14415
2026-05-12 09:55:00,4697.055,4699.835,4696.325,4699.305,0.16446
2026-05-12 10:00:00,4699.295,4703.975,4698.595,4703.355,0.14742
2026-05-12 10:05:00,4703.375,4708.125,4702.415,4707.525,0.14397
2026-05-12 10:10:00,4707.715,4708.295,4704.165,4704.885,0.15186
2026-05-12 10:15:00,4704.885,4705.225,4698.805,4700.815,0.16011
2026-05-12 10:20:00,4700.865,4703.075,4699.525,4701.105,0.1218
2026-05-12 10:25:00,4701.235,4702.785,4699.165,4700.025,0.1125
2026-05-12 10:30:00,4700.025,4700.155,4692.205,4695.225,0.21234
2026-05-12 10:35:00,4695.245,4695.775,4685.225,4686.335,0.20886
2026-05-12 10:40:00,4686.115,4692.265,4684.935,4690.565,0.21246
2026-05-12 10:45:00,4690.555,4692.035,4689.505,4691.125,0.19392
2026-05-12 10:50:00,4691.055,4693.945,4690.265,4692.705,0.1686
2026-05-12 10:55:00,4692.705,4694.305,4690.995,4694.235,0.1672
2026-05-12 11:00:00,4694.285,4694.955,4689.318,4690.925,0.24489
2026-05-12 11:05:00,4690.895,4692.855,4686.985,4691.905,0.2574
2026-05-12 11:10:00,4691.915,4697.905,4689.425,4691.535,0.28185
2026-05-12 11:15:00,4691.535,4697.855,4691.445,4697.725,0.21207
2026-05-12 11:20:00,4697.705,4697.705,4692.895,4693.595,0.18459
2026-05-12 11:25:00,4693.625,4700.145,4692.675,4699.975,0.17415
2026-05-12 11:30:00,4700.035,4702.095,4697.655,4698.605,0.17511
2026-05-12 11:35:00,4698.485,4704.575,4698.405,4704.245,0.20223
2026-05-12 11:40:00,4704.195,4705.895,4702.495,4704.105,0.18246
2026-05-12 11:45:00,4704.085,4707.005,4702.275,4705.325,0.17451
2026-05-12 11:50:00,4705.345,4707.805,4704.045,4707.265,0.18003
2026-05-12 11:55:00,4707.175,4708.985,4706.135,4706.395,0.16233
2026-05-12 12:00:00,4706.495,4708.065,4703.405,4704.295,0.19461
2026-05-12 12:05:00,4704.295,4704.545,4698.195,4700.415,0.24165
2026-05-12 12:10:00,4700.415,4706.155,4699.735,4705.505,0.18208
2026-05-12 12:15:00,4705.525,4708.045,4702.285,4704.605,0.25035
2026-05-12 12:20:00,4704.615,4708.145,4696.855,4696.875,0.24927
2026-05-12 12:25:00,4696.875,4698.755,4694.865,4697.265,0.17217
2026-05-12 12:30:00,4697.155,4700.135,4689.435,4692.725,0.34279
2026-05-12 12:35:00,4692.755,4702.425,4690.548,4701.485,0.3735
2026-05-12 12:40:00,4701.485,4708.365,4700.865,4702.505,0.31131
2026-05-12 12:45:00,4702.905,4710.755,4702.395,4707.145,0.3069
2026-05-12 12:50:00,4706.975,4711.455,4706.565,4709.155,0.28354
2026-05-12 12:55:00,4709.245,4710.135,4700.275,4705.545,0.26062
2026-05-12 13:00:00,4705.515,4708.895,4695.0,4696.075,0.38538
2026-05-12 13:05:00,4695.975,4697.255,4692.425,4695.255,0.36713
